image_id,split,label,stress_ratio,valid_area,stressed_area,has_planter_skip
9UH84W49V_8679-9521-9191-10033,train,2,0.662891,262144,173773,False
4P4AUMFHJ_6875-1707-7387-2219,train,0,0.0,-1,0,False
9UH84W49V_12625-6734-13137-7246,train,1,0.317955,207542,65989,False
FWMEBDUXX_2977-1637-3489-2149,train,1,0.206161,262144,54044,False
8LK6KEGMI_7041-2191-7553-2703,train,2,0.891052,262144,233584,False
NYIXWWPDF_3200-7532-3712-8044,train,2,0.808208,256423,207243,False
1WVAJX46B_2576-722-3088-1234,train,2,-1.0,-1,-1,True
EWBIEFDP2_2908-1404-3420-1916,train,2,-1.0,-1,-1,True
EX218LZ1R_840-2035-1352-2547,train,1,0.202338,187439,37926,False
7GIA4BKLL_1582-6290-2094-6802,train,0,0.049885,262144,13077,False
IA2R87QB2_2569-954-3081-1466,train,2,0.474342,262144,124346,False
T1IECFYT6_6209-7274-6721-7786,train,0,0.027162,217403,5905,False
DNWHY8P4V_3194-1879-3706-2391,train,2,-1.0,-1,-1,True
9UH84W49V_10243-5290-10755-5802,train,1,0.11639,262144,30511,False
9UH84W49V_12625-5198-13137-5710,train,1,0.197139,229320,45208,False
WVLNWZ83A_2405-2470-2917-2982,train,1,0.258659,262144,67806,False
Q1PVN4ABJ_3394-12535-3906-13047,train,1,0.099754,262144,26150,False
H39M7YG87_2462-1255-2974-1767,train,2,-1.0,-1,-1,True
1HBK68KTK_5511-712-6023-1224,train,1,0.171827,226600,38936,False
1FPBNGD9F_7585-6873-8097-7385,train,1,0.146904,262144,38510,False
YY8EPIW1C_11229-15330-11741-15842,train,2,0.776016,262144,203428,False
ADHEGFT1W_2484-1000-2996-1512,train,1,0.295191,247558,73077,False
J9PK1M3HW_1062-4831-1574-5343,train,0,0.071907,262144,18850,False
GID71T4G7_5520-1880-6032-2392,train,1,0.384567,262144,100812,False
RZQFKWIDP_1631-4632-2143-5144,train,1,0.132378,262144,34702,False
XRHWLWTAN_8437-3935-8949-4447,train,1,0.114731,262144,30076,False
LULKWVL8T_1728-2905-2240-3417,train,2,0.9161,262144,240150,False
EAEZWJNI6_1020-2137-1532-2649,train,2,0.736607,262144,193097,False
XQ64HH2IN_2748-4026-3260-4538,train,1,0.337169,256951,86636,False
I7VYIC9GL_3050-3508-3562-4020,train,2,-1.0,-1,-1,True
48MEIM1PT_4207-6142-4719-6654,train,1,0.197144,262144,51680,False
YY8EPIW1C_8669-17378-9181-17890,train,2,0.435665,262144,114207,False
AKV6YKFKI_2902-3582-3414-4094,train,1,0.368378,262144,96568,False
EEND1VJN9_7045-6796-7557-7308,train,0,0.021384,256732,5490,False
Y3RA9WAPY_5093-8743-5605-9255,train,2,0.541637,262144,141987,False
JQ3IIMYWU_2759-4239-3271-4751,train,1,0.152924,262144,40088,False
9YC9EYV8A_6022-3627-6534-4139,train,0,0.0,-1,0,False
NBAJRVFBP_2078-2966-2590-3478,train,0,0.021797,262144,5714,False
NZ9MAMQG8_5544-4335-6056-4847,train,0,0.025192,262144,6604,False
9UH84W49V_9731-5802-10243-6314,train,1,0.104866,262144,27490,False
W4VWLIVHE_1923-1424-2435-1936,train,0,0.086708,262144,22730,False
9YC9EYV8A_5018-5630-5530-6142,train,0,0.0,-1,0,False
YVU8YPCDR_9501-7130-10013-7642,train,0,0.052662,262144,13805,False
L8H19QDM6_7380-1255-7892-1767,train,1,0.350296,262144,91828,False
2L3ZGKHJL_3732-2451-4244-2963,train,0,0.028259,262144,7408,False
Q99ZHNI1H_1872-4075-2384-4587,train,0,0.0,-1,0,False
XRHWLWTAN_8949-3935-9461-4447,train,1,0.32169,262144,84329,False
V9ILVT3RG_986-2699-1498-3211,train,1,0.401173,262144,105165,False
F9V3DBDIX_4121-704-4633-1216,train,1,0.332241,114420,38015,False
T1NQEB63R_5707-12162-6219-12674,train,0,0.032627,262144,8553,False
T89JYE12U_21398-5287-21910-5799,train,1,0.141624,262144,37126,False
9UH84W49V_4467-17363-4979-17875,train,2,0.682381,262144,178882,False
XFUEDQNIB_2397-443-2909-955,train,0,0.011517,152732,1759,False
J4IXXECHN_1894-2331-2406-2843,train,1,0.13456,262144,35274,False
T89JYE12U_878-4226-1390-4738,train,0,0.033684,262144,8830,False
1HBK68KTK_5467-7398-5979-7910,train,2,0.412102,262144,108030,False
LAQC7ZJ8Z_2803-3320-3315-3832,train,2,0.538889,261729,141043,False
NYIXWWPDF_5248-7532-5760-8044,train,1,0.354858,150745,53493,False
WVLNWZ83A_1320-6610-1832-7122,train,1,0.235069,262144,61622,False
YY8EPIW1C_10717-11746-11229-12258,train,2,0.789455,262144,206951,False
LAQC7ZJ8Z_6829-1226-7341-1738,train,0,0.046627,262144,12223,False
EWBIEFDP2_11549-19802-12061-20314,train,2,-1.0,-1,-1,True
YMNJI1ZPQ_761-1024-1273-1536,train,0,0.037764,219335,8283,False
4P4AUMFHJ_1665-2400-2177-2912,train,0,0.0,-1,0,False
Q1PVN4ABJ_10280-9057-10792-9569,train,1,0.112656,262144,29532,False
XYWX9HP8F_4185-1860-4697-2372,train,1,0.314156,262144,82354,False
NZ9MAMQG8_3434-5653-3946-6165,train,0,0.015846,262144,4154,False
9UH84W49V_1111-10926-1623-11438,train,2,0.623599,243565,151887,False
UYXUHWIVH_5607-13696-6119-14208,train,2,-1.0,-1,-1,True
YY8EPIW1C_9181-8162-9693-8674,train,1,0.14822,262144,38855,False
XQ64HH2IN_4407-4414-4919-4926,train,2,0.416386,262144,109153,False
4PFV6L44R_3080-5764-3592-6276,train,1,0.29357,167851,49276,False
843FYXCMZ_941-5061-1453-5573,train,1,0.117668,262144,30846,False
B8QNAIBQJ_4150-1978-4662-2490,train,0,0.021496,262144,5635,False
8JHN19XIP_742-2374-1254-2886,train,1,0.262525,193913,50907,False
EJFKK1GL2_2388-4032-2900-4544,train,0,0.0,-1,0,False
LAQC7ZJ8Z_6471-9513-6983-10025,train,1,0.220169,262144,57716,False
2DQ464W19_484-1814-996-2326,train,0,0.028038,185281,5195,False
29PWCB1DI_3155-2107-3667-2619,train,1,0.393375,262144,103121,False
2CRC6AJW8_5604-12144-6116-12656,train,2,0.686835,30377,20864,False
GTLUAY7IY_8702-2892-9214-3404,train,2,0.50193,262144,131578,False
7BK2C76RL_2299-6643-2811-7155,train,0,0.087709,260556,22853,False
V4EJX3X8K_1048-3815-1560-4327,train,1,0.106968,262144,28041,False
8HQBWCT2P_4851-7425-5363-7937,train,0,0.0,-1,0,False
KJJIILQZN_2503-5218-3015-5730,train,1,0.127686,262144,33472,False
YY8EPIW1C_12763-4584-13275-5096,train,1,0.220758,209809,46317,False
29PWCB1DI_3155-1083-3667-1595,train,1,0.13031,262144,34160,False
FWPBP7FL2_4589-3026-5101-3538,train,1,0.095951,262144,25153,False
EJFKK1GL2_1364-4032-1876-4544,train,0,0.0,-1,0,False
X4LG6KQK6_703-455-1215-967,train,0,0.041776,101925,4258,False
TLUZFMVAJ_718-7034-1230-7546,train,0,0.071229,144477,10291,False
9UH84W49V_11270-9620-11782-10132,train,1,0.184353,262144,48327,False
XRHWLWTAN_4396-1880-4908-2392,train,1,0.29746,251913,74934,False
KTJRTW94V_4874-749-5386-1261,train,2,0.704578,141472,99678,False
G4C6LXNQI_1525-2952-2037-3464,train,1,0.16824,169335,28489,False
L9WB8LI6U_920-5214-1432-5726,train,0,0.058346,262144,15295,False
UYY79YV6N_1990-6923-2502-7435,train,2,0.694733,262144,182120,False
RJVTM4Q6P_401-4998-913-5510,train,0,0.053691,228661,12277,False
TYGZLAT4Z_4770-3071-5282-3583,train,0,0.0,-1,0,False
6D8Z9XU8L_2159-3438-2671-3950,train,0,0.011257,262144,2951,False
2L3ZGKHJL_1608-4017-2120-4529,train,0,0.086525,262144,22682,False
EQMCXGEXF_3207-9393-3719-9905,train,2,0.622669,262144,163229,False
GID71T4G7_3030-940-3542-1452,train,1,0.197399,197838,39053,False
2FPNYIQY1_2083-11899-2595-12411,train,0,0.078304,262144,20527,False
IVX6I8HZ1_12348-3572-12860-4084,train,1,0.302751,259801,78655,False
FJBQLWJF3_665-3793-1177-4305,train,1,0.198407,175437,34808,False
XBZQRC1R8_1670-200-2182-712,train,2,-1.0,-1,-1,True
KXJUDXKZF_2189-6225-2701-6737,train,0,0.011963,139182,1665,False
XRHWLWTAN_4579-2635-5091-3147,train,1,0.139365,231930,32323,False
7UPDUIJLA_949-6502-1461-7014,train,0,0.081932,262144,21478,False
Q1PVN4ABJ_9075-12353-9587-12865,train,2,0.43317,262144,113553,False
92BKDFI7I_3467-2568-3979-3080,train,1,0.268013,262144,70258,False
CDFIHH1UC_4849-4109-5361-4621,train,2,0.844796,114823,97002,False
YY8EPIW1C_7133-9186-7645-9698,train,2,0.917946,262144,240634,False
UYY79YV6N_2325-6400-2837-6912,train,1,0.305782,262144,80159,False
9UH84W49V_12601-15520-13113-16032,train,1,0.242554,188836,45803,False
8HQBWCT2P_4176-8168-4688-8680,train,0,0.0,-1,0,False
KDWEVLH7Z_2990-3041-3502-3553,train,2,-1.0,-1,-1,True
YJ9RN6WDX_4500-3320-5012-3832,train,1,0.35024,183914,64414,False
YJ9RN6WDX_845-528-1357-1040,train,1,0.15462,176737,27327,False
ZF8VFPVI1_5939-4845-6451-5357,train,1,0.110611,262144,28996,False
TJLUTQNNK_792-7307-1304-7819,train,0,0.071663,239874,17190,False
A2GW8JMYA_1436-3600-1948-4112,train,0,0.031197,262144,8178,False
NZ9MAMQG8_5304-4537-5816-5049,train,0,0.019928,262144,5224,False
UF8MLWHMQ_2954-3414-3466-3926,train,0,0.083721,262144,21947,False
A9YB9Y2LA_1036-6174-1548-6686,train,1,0.305508,262144,80087,False
UZ1LRR6XL_7952-12173-8464-12685,train,0,0.094678,261318,24741,False
TJLUTQNNK_3011-6127-3523-6639,train,0,0.0,-1,0,False
XQ64HH2IN_3919-5172-4431-5684,train,1,0.212002,262144,55575,False
VM41WRAYA_4195-3657-4707-4169,train,1,0.226986,262144,59503,False
2CRC6AJW8_3556-9072-4068-9584,train,2,0.714581,262144,187323,False
I7VYIC9GL_5072-5766-5584-6278,train,2,-1.0,-1,-1,True
4AZJLIGYZ_5915-4803-6427-5315,train,1,0.295185,262144,77381,False
Z3DMHMQB8_1888-618-2400-1130,train,2,0.550878,110549,60899,False
29PWCB1DI_1271-6443-1783-6955,train,2,0.56855,262144,149042,False
HGIUEFX7R_4822-8952-5334-9464,train,2,-1.0,-1,-1,True
ZRWHRKHZG_4124-2463-4636-2975,train,0,0.046719,262144,12247,False
AKV6YKFKI_5974-510-6486-1022,train,1,0.189604,170624,32351,False
FJBQLWJF3_2150-738-2662-1250,train,1,0.226806,260439,59069,False
GID71T4G7_7707-3875-8219-4387,train,2,0.435776,262144,114236,False
AZNEF9RLA_2715-4490-3227-5002,train,1,0.1177,173237,20390,False
A2GW8JMYA_1847-7392-2359-7904,train,2,0.480087,262144,125852,False
KXU1VVZKG_5396-733-5908-1245,train,1,0.225445,188356,42464,False
Q1PVN4ABJ_12280-14076-12792-14588,train,2,0.512806,262144,134429,False
APLGBHQDU_780-6880-1292-7392,train,1,0.352426,104663,36886,False
G9B6JET91_3603-3239-4115-3751,train,0,0.0,-1,0,False
G2CR49QFJ_2072-831-2584-1343,train,2,-1.0,-1,-1,True
2Y87YIWFE_2849-2283-3361-2795,train,1,0.106232,192936,20496,False
8VA2XC7VU_1223-5872-1735-6384,train,2,0.551167,262144,144485,False
I7VYIC9GL_4903-16090-5415-16602,train,2,-1.0,-1,-1,True
L7JRR88T6_3776-3886-4288-4398,train,2,-1.0,-1,-1,True
TWTAETC1H_966-2194-1478-2706,train,2,-1.0,-1,-1,True
MPYIGFVM6_7281-5961-7793-6473,train,0,0.0,-1,0,False
ND4EHNNG3_1140-1789-1652-2301,train,1,0.113388,262144,29724,False
ENCWB3M63_1918-5728-2430-6240,train,1,0.263874,262144,69173,False
PNT3A28LP_4912-7847-5424-8359,train,2,0.790115,262144,207124,False
F2XWHDV7G_5564-4941-6076-5453,train,0,0.058098,262144,15230,False
HXAKBCBWD_6028-4062-6540-4574,train,0,0.062016,262144,16257,False
18UICGW9F_2052-1913-2564-2425,train,0,0.0,-1,0,False
D6MJE288I_5524-5179-6036-5691,train,2,-1.0,-1,-1,True
X2D9HB8IL_718-2993-1230-3505,train,2,-1.0,-1,-1,True
TD62ZP6DW_4290-2210-4802-2722,train,2,-1.0,-1,-1,True
YY8EPIW1C_10011-17241-10523-17753,train,1,0.192875,262144,50561,False
8U6TJWBGD_1833-1586-2345-2098,train,1,0.117508,262144,30804,False
IPMWYDNUA_3018-2709-3530-3221,train,2,-1.0,-1,-1,True
6XK1QLCDN_2176-1083-2688-1595,train,0,0.037711,44735,1687,False
XQ64HH2IN_6180-1554-6692-2066,train,1,0.139198,262144,36490,False
HH1L2XBC2_1763-854-2275-1366,train,2,0.936485,262144,245494,False
GHH3FLQG6_1778-5135-2290-5647,train,2,-1.0,-1,-1,True
XYWX9HP8F_2900-1488-3412-2000,train,0,0.053997,262144,14155,False
ZMGGNMML1_6504-7829-7016-8341,train,2,0.576207,4455,2567,False
WVLNWZ83A_4683-5489-5195-6001,train,0,0.02198,262144,5762,False
ND4EHNNG3_6858-1795-7370-2307,train,1,0.24567,262144,64401,False
A2GW8JMYA_3713-1288-4225-1800,train,2,0.774998,262144,203161,False
Z2PE8QPQM_2202-1846-2714-2358,train,0,0.062649,160768,10072,False
8ENFEUT7N_7507-7257-8019-7769,train,2,0.495564,262144,129909,False
MKJ1XWI1F_2428-6365-2940-6877,train,1,0.167567,161207,27013,False
GYYW4VFTD_3569-828-4081-1340,train,2,0.443214,223064,98865,False
L7JRR88T6_2835-2982-3347-3494,train,2,-1.0,-1,-1,True
1LVU94MUU_6445-8885-6957-9397,train,1,0.299182,243902,72971,False
LAQC7ZJ8Z_7106-12569-7618-13081,train,1,0.343479,262144,90041,False
ZF8VFPVI1_3725-8525-4237-9037,train,1,0.233425,243239,56778,False
92RYD9C1Q_2362-661-2874-1173,train,1,0.299427,147809,44258,False
8JHN19XIP_1688-4794-2200-5306,train,1,0.286568,262144,75122,False
ABYWTM7QU_4213-2845-4725-3357,train,2,-1.0,-1,-1,True
XRHWLWTAN_5091-3147-5603-3659,train,1,0.178715,262144,46849,False
ND4EHNNG3_7284-4093-7796-4605,train,1,0.212051,262144,55588,False
WVLNWZ83A_4842-7213-5354-7725,train,0,0.053808,201381,10836,False
I3JTFQK9H_3590-5897-4102-6409,train,0,0.0,-1,0,False
1LVU94MUU_7063-8436-7575-8948,train,0,0.046606,153971,7176,False
77D9ND9BM_5897-7357-6409-7869,train,2,0.837936,262144,219660,False
WVLNWZ83A_4141-5665-4653-6177,train,0,0.003614,210596,761,False
J9PK1M3HW_2714-7222-3226-7734,train,1,0.320499,262144,84017,False
G1TFALNK7_5399-10200-5911-10712,train,1,0.373104,262144,97807,False
MRYCG94F3_1938-1057-2450-1569,train,1,0.215733,167531,36142,False
AMHWXGPTC_1788-5034-2300-5546,train,0,0.025364,262144,6649,False
46FG2N7QJ_1649-888-2161-1400,train,1,0.336742,262144,88275,False
WIVVETMAY_6108-724-6620-1236,train,2,0.652893,262144,171152,False
F9V3DBDIX_3205-831-3717-1343,train,0,0.039951,262144,10473,False
WVLNWZ83A_1839-2641-2351-3153,train,1,0.370388,262144,97095,False
Z9CQA7FUT_2229-7827-2741-8339,train,0,0.060333,262144,15816,False
4VUQI7PW6_2304-4385-2816-4897,train,0,0.070232,262144,18411,False
WVLNWZ83A_2837-6406-3349-6918,train,1,0.139839,262144,36658,False
YDMWVVBNN_820-908-1332-1420,train,2,-1.0,-1,-1,True
ENVZ98YIR_4156-6105-4668-6617,train,0,0.0,-1,0,False
YY8EPIW1C_11407-10090-11919-10602,train,1,0.096161,262144,25208,False
LAQC7ZJ8Z_4851-1784-5363-2296,train,1,0.105439,109457,11541,False
8XY6ZAPU4_1776-12720-2288-13232,train,2,0.484491,120578,58419,False
A9YB9Y2LA_1605-3653-2117-4165,train,0,0.093723,262144,24569,False
HH1L2XBC2_2298-3120-2810-3632,train,2,0.524635,262144,137530,False
YY8EPIW1C_7375-5559-7887-6071,train,1,0.196133,262144,51415,False
KDWEVLH7Z_2350-7720-2862-8232,train,1,0.228443,262144,59885,False
UK4VDJ8R7_4416-6041-4928-6553,train,2,-1.0,-1,-1,True
77D9ND9BM_1787-2255-2299-2767,train,1,0.185543,262144,48639,False
PNT3A28LP_5380-7661-5892-8173,train,2,0.714264,262144,187240,False
8VA2XC7VU_3261-7508-3773-8020,train,0,0.049255,262144,12912,False
J4IXXECHN_964-2746-1476-3258,train,0,0.025364,262144,6649,False
FAECKMHEI_6521-13767-7033-14279,train,1,0.125782,262144,32973,False
8Q6M6TZYW_3905-2287-4417-2799,train,0,0.050291,209799,10551,False
YY8EPIW1C_9181-9186-9693-9698,train,2,0.792038,262144,207628,False
9YC9EYV8A_6042-7166-6554-7678,train,0,0.0,-1,0,False
W6YN2HWKX_4025-4132-4537-4644,train,0,0.032635,262144,8555,False
7A4UGDHVC_3706-4558-4218-5070,train,1,0.208546,262144,54669,False
2FPNYIQY1_866-11665-1378-12177,train,2,0.78594,259801,204188,False
F2XWHDV7G_4120-4332-4632-4844,train,0,0.040054,262144,10500,False
G9CZQFLMA_2703-3641-3215-4153,train,0,0.010834,262144,2840,False
BL82HKNC4_1556-2451-2068-2963,train,2,0.555672,262144,145666,False
C4DNYINDU_1807-2391-2319-2903,train,1,0.219372,178769,39217,False
Y6UDNUNDT_2765-1921-3277-2433,train,1,0.30101,262144,78908,False
T641V988J_3742-15160-4254-15672,train,2,0.483471,262144,126739,False
APLGBHQDU_1804-8416-2316-8928,train,2,0.731672,99017,72448,False
Y3RA9WAPY_3747-1158-4259-1670,train,2,0.543167,262144,142388,False
G9CZQFLMA_1458-2684-1970-3196,train,1,0.164539,262144,43133,False
Q1PVN4ABJ_2085-15860-2597-16372,train,1,0.363598,262144,95315,False
XV1KICUTV_4281-2597-4793-3109,train,0,0.041996,262144,11009,False
ZM8D1C4C3_4629-7601-5141-8113,train,1,0.157093,262144,41181,False
P9PF7CXJ8_2398-787-2910-1299,train,1,0.232143,243462,56518,False
W4VWLIVHE_1737-558-2249-1070,train,1,0.318473,258578,82350,False
29PWCB1DI_4691-7739-5203-8251,train,2,0.891825,143360,127852,False
Z6IT34XRB_2564-6479-3076-6991,train,2,0.426212,262144,111729,False
J9PK1M3HW_2042-6708-2554-7220,train,0,0.013542,262144,3550,False
8JHN19XIP_651-1446-1163-1958,train,0,0.086452,76551,6618,False
NWTIEC88G_1831-757-2343-1269,train,0,0.043449,262144,11390,False
WKBCTTAK6_4108-2891-4620-3403,train,1,0.228336,262144,59857,False
9UH84W49V_10235-12282-10747-12794,train,1,0.284443,262144,74565,False
RHAACZNVV_4722-386-5234-898,train,0,0.0,-1,0,False
G9B6JET91_2170-5154-2682-5666,train,0,0.0,-1,0,False
Z3DMHMQB8_2912-1642-3424-2154,train,2,0.410293,205870,84467,False
2CRC6AJW8_6979-5437-7491-5949,train,2,0.59874,262144,156956,False
WLBI8CZ9D_2017-4038-2529-4550,train,2,-1.0,-1,-1,True
2CRC6AJW8_7140-10096-7652-10608,train,2,0.621412,41948,26067,False
YY8EPIW1C_9181-15842-9693-16354,train,2,0.542492,262144,142211,False
ZQK4KNNTQ_6116-5103-6628-5615,train,1,0.103115,262144,27031,False
H249F7IQG_7119-5455-7631-5967,train,0,0.050415,147078,7415,False
V11RW9464_7879-2621-8391-3133,train,2,0.47596,262144,124770,False
T641V988J_2574-12884-3086-13396,train,1,0.257225,262144,67430,False
UYY79YV6N_6693-550-7205-1062,train,0,0.030005,140810,4225,False
BL82HKNC4_4933-10098-5445-10610,train,1,0.264313,262144,69288,False
KYIMQZV4N_3489-4904-4001-5416,train,0,0.032143,262142,8426,False
G9B6JET91_2941-7867-3453-8379,train,0,0.0,-1,0,False
DRTG1HAUZ_8631-2182-9143-2694,train,2,0.484112,262144,126907,False
UK4VDJ8R7_2134-4350-2646-4862,train,2,-1.0,-1,-1,True
HGIUEFX7R_3489-7487-4001-7999,train,2,-1.0,-1,-1,True
77D9ND9BM_956-1293-1468-1805,train,2,0.408554,230163,94034,False
WKBCTTAK6_1800-4127-2312-4639,train,0,0.012272,262144,3217,False
T1NQEB63R_6433-10473-6945-10985,train,2,0.845783,262144,221717,False
EQMCXGEXF_1671-4785-2183-5297,train,0,0.012554,39987,502,False
UJWXV93VI_9022-1748-9534-2260,train,0,0.0,-1,0,False
XQ64HH2IN_3646-4723-4158-5235,train,1,0.276676,262144,72529,False
GTLUAY7IY_8683-13510-9195-14022,train,1,0.335506,262144,87951,False
A2GW8JMYA_3351-15205-3863-15717,train,2,0.540798,262144,141767,False
FWMEBDUXX_3489-1637-4001-2149,train,1,0.406872,262144,106659,False
NWTIEC88G_4357-3345-4869-3857,train,0,0.010159,243241,2471,False
X4LG6KQK6_3155-3204-3667-3716,train,0,0.04232,262144,11094,False
A2GW8JMYA_1656-14540-2168-15052,train,1,0.155426,262144,40744,False
8LK6KEGMI_5413-5104-5925-5616,train,1,0.124432,262144,32619,False
LL2XHGK1G_6768-430-7280-942,train,0,0.020183,236490,4773,False
WGNM6EZ77_1631-1685-2143-2197,train,1,0.164101,262144,43018,False
2FPNYIQY1_1275-6696-1787-7208,train,2,0.86232,262144,226052,False
2FPNYIQY1_866-10129-1378-10641,train,2,0.779505,241312,188104,False
Z9CQA7FUT_7164-3858-7676-4370,train,0,0.016674,262144,4371,False
P7AV2CW67_2696-3574-3208-4086,train,0,0.015385,262144,4033,False
XYWX9HP8F_2265-648-2777-1160,train,1,0.255762,217390,55600,False
YY8EPIW1C_10745-5199-11257-5711,train,1,0.116446,246500,28704,False
KDWEVLH7Z_4408-3180-4920-3692,train,0,0.075372,162236,12228,False
YY8EPIW1C_12253-9186-12765-9698,train,2,0.560482,262144,146927,False
Z9CQA7FUT_3952-7082-4464-7594,train,1,0.145954,262144,38261,False
4N9DE4EMH_19458-9591-19970-10103,train,0,0.0,-1,0,False
LAQC7ZJ8Z_4445-9923-4957-10435,train,1,0.377766,262144,99029,False
AMBEDAYEG_6702-2174-7214-2686,train,1,0.250614,262144,65697,False
ND4EHNNG3_9373-3418-9885-3930,train,1,0.158442,236900,37535,False
4AZJLIGYZ_2348-6425-2860-6937,train,1,0.316414,262144,82946,False
YY8EPIW1C_3343-817-3855-1329,train,1,0.219673,262144,57586,False
6XK1QLCDN_4013-759-4525-1271,train,1,0.249071,261484,65128,False
BL82HKNC4_3325-7110-3837-7622,train,1,0.124707,216090,26948,False
M3B2Z1F3G_1417-1181-1929-1693,train,0,0.057092,235217,13429,False
WVLNWZ83A_2842-3696-3354-4208,train,0,0.035519,262144,9311,False
F2XWHDV7G_2492-4941-3004-5453,train,0,0.016655,262144,4366,False
AKV6YKFKI_7510-510-8022-1022,train,0,0.044149,151283,6679,False
F2XWHDV7G_2724-3324-3236-3836,train,1,0.139938,262144,36684,False
BL82HKNC4_2643-735-3155-1247,train,1,0.182051,257510,46880,False
XC9XQ2DH8_1480-1718-1992-2230,train,0,0.019077,262144,5001,False
Z6IT34XRB_835-2400-1347-2912,train,1,0.278041,246791,68618,False
QTAE2NXZM_4386-3544-4898-4056,train,0,0.0,-1,0,False
NPE7RM1QF_1924-12430-2436-12942,train,1,0.189469,197668,37452,False
ENCWB3M63_2725-2536-3237-3048,train,1,0.238876,262144,62620,False
RCAHLJTZQ_216-8450-728-8962,train,1,0.326111,183919,59978,False
Q2AG7DKCX_8809-2220-9321-2732,train,1,0.370224,262144,97052,False
7BK2C76RL_3685-7513-4197-8025,train,0,0.041248,198553,8190,False
N3DKF86PR_5195-9486-5707-9998,train,1,0.239079,262144,62673,False
P7AV2CW67_3329-8256-3841-8768,train,0,0.069837,175065,12226,False
8JHN19XIP_2152-6017-2664-6529,train,0,0.091732,262144,24047,False
JQ3IIMYWU_7663-637-8175-1149,train,0,0.04625,196845,9104,False
8LK6KEGMI_7082-5258-7594-5770,train,2,0.539697,170768,92163,False
EAEZWJNI6_6619-498-7131-1010,train,2,0.546023,223216,121881,False
HGIUEFX7R_1731-9570-2243-10082,train,2,-1.0,-1,-1,True
FWPBP7FL2_5734-1688-6246-2200,train,1,0.226204,262144,59298,False
BL82HKNC4_5445-9074-5957-9586,train,1,0.189705,262144,49730,False
PNT3A28LP_3293-6545-3805-7057,train,2,0.661251,262144,173343,False
29PWCB1DI_4179-3131-4691-3643,train,2,0.642628,262144,168461,False
NZ9MAMQG8_6089-1578-6601-2090,train,0,0.021048,231708,4877,False
BL82HKNC4_5758-5071-6270-5583,train,0,0.075,134907,10118,False
29PWCB1DI_3445-7275-3957-7787,train,2,0.53154,207055,110058,False
L8H19QDM6_9774-3047-10286-3559,train,1,0.266392,262144,69833,False
